refund_id,original_txn_id,original_utr,refund_utr,merchant_id,customer_id,refund_initiation_date,refund_settlement_date,original_amount,refund_amount,refund_type,refund_status,refund_reason,initiated_by,gateway_refund_id,tat_days,sla_breached,remarks
REF6189293,TXN0000366,,UTR189925750734,MERCH0028,CUST50645,2024-04-26,2024-05-02,23162.49,23162.49,FULL,PROCESSED,Item Not Delivered,System,GWREF264511,7,Y,
REF5876273,TXN0000376,,UTR387334616511,MERCH0044,CUST30788,2024-03-29,2024-04-04,53850.07,53850.07,FULL,PROCESSED,Customer Request,System,GWREF559203,6,Y,Chargeback case
REF7359198,TXN0000380,,,MERCH0049,CUST14861,2024-05-18,,24690.49,13872.64,PARTIAL,PENDING,Fraud Suspected,Bank,GWREF885018,2,N,Chargeback case
REF5382159,TXN0000394,,UTR588352365451,MERCH0003,CUST10131,2024-11-01,2024-11-08,144204.75,144204.75,FULL,PROCESSED,Item Not Delivered,Merchant,GWREF163190,1,N,
REF8897687,TXN0000415,,UTR058843350590,MERCH0015,CUST39743,2024-07-03,2024-07-09,142725.75,142725.75,FULL,PROCESSED,Customer Request,System,GWREF681481,6,N,Chargeback case
REF9978064,TXN0000428,,UTR708135078395,MERCH0050,CUST27423,2024-02-12,2024-02-19,104462.49,104462.49,FULL,PROCESSED,Product Defective,Customer,GWREF827323,14,N,Chargeback case
REF1172548,TXN0000448,,,MERCH0047,CUST61355,2024-10-02,,116417.01,116417.01,FULL,PENDING,Fraud Suspected,Merchant,GWREF261400,11,N,
REF8031603,TXN0000455,,,MERCH0043,CUST10011,2024-07-19,,25781.90,25781.90,FULL,INITIATED,Duplicate Payment,Merchant,GWREF872796,10,N,
REF9584830,TXN0000459,,,MERCH0008,CUST33033,2024-02-12,,56825.92,56825.92,FULL,PENDING,Chargeback Initiated,Merchant,GWREF264689,5,N,
REF5375338,TXN0000463,,UTR704923264118,MERCH0044,CUST98706,2024-06-18,2024-06-21,20507.44,20507.44,FULL,PROCESSED,Duplicate Payment,Merchant,GWREF679541,14,N,
REF6986221,TXN0000471,,UTR335214729161,MERCH0040,CUST36167,2024-06-05,2024-06-09,139368.29,139368.29,FULL,PROCESSED,Chargeback Initiated,Bank,GWREF964126,4,N,Chargeback case
REF9538261,TXN0000474,,UTR939933486085,MERCH0046,CUST68427,2024-01-19,2024-01-24,98170.56,98170.56,FULL,PROCESSED,Product Defective,Customer,GWREF187606,10,N,
REF7221929,TXN0000483,,,MERCH0022,CUST21136,2024-11-05,,15995.52,7401.95,PARTIAL,INITIATED,Product Defective,Customer,GWREF119976,7,N,
REF5317692,TXN0000497,,,MERCH0044,CUST60807,2024-05-21,,6049.93,6049.93,FULL,PENDING,Product Defective,Customer,GWREF736701,3,Y,
REF9354441,TXN0000505,,UTR615386837713,MERCH0036,CUST88266,2024-10-04,2024-10-09,85569.01,59383.42,PARTIAL,PROCESSED,Chargeback Initiated,Merchant,GWREF153489,1,N,
REF9801227,TXN0000506,,UTR062136183747,MERCH0021,CUST11859,2024-09-16,2024-09-20,111438.31,111438.31,FULL,PROCESSED,Item Not Delivered,Merchant,GWREF342766,10,N,
REF7111466,TXN0000513,,UTR919995271696,MERCH0048,CUST27111,2024-09-01,2024-09-06,11861.94,11861.94,FULL,PROCESSED,Fraud Suspected,Merchant,GWREF223362,9,Y,
REF9761367,TXN0000515,,UTR508341605917,MERCH0002,CUST64230,2024-07-17,2024-07-21,31235.47,31235.47,FULL,PROCESSED,Customer Request,Merchant,GWREF607133,1,N,
REF2285873,TXN0000518,,UTR055672814880,MERCH0046,CUST46842,2024-07-23,2024-07-27,37551.47,37551.47,FULL,PROCESSED,Duplicate Payment,Customer,GWREF779300,8,Y,
REF3807678,TXN0000536,,UTR003763508713,MERCH0037,CUST66455,2024-12-05,2024-12-11,53611.30,53611.30,FULL,PROCESSED,Product Defective,System,GWREF725389,7,Y,Chargeback case
REF5813773,TXN0000542,,,MERCH0002,CUST65170,2024-06-21,,69219.53,69219.53,FULL,PENDING,Fraud Suspected,Merchant,GWREF885931,6,N,
REF6564809,TXN0000554,,UTR293470779120,MERCH0046,CUST56911,2024-01-13,2024-01-17,138344.89,138344.89,FULL,PROCESSED,Customer Request,Customer,GWREF469056,14,N,
REF7453473,TXN0000569,,UTR178908479001,MERCH0024,CUST15847,2024-09-11,2024-09-18,44144.75,44144.75,FULL,PROCESSED,Customer Request,System,GWREF325276,12,N,
REF1078501,TXN0000578,,UTR152444278776,MERCH0034,CUST26538,2024-05-25,2024-05-30,85696.22,85696.22,FULL,PROCESSED,Chargeback Initiated,Bank,GWREF316435,13,N,
REF8221625,TXN0000589,,UTR036399805074,MERCH0045,CUST79888,2024-06-16,2024-06-21,84171.39,84171.39,FULL,PROCESSED,Product Defective,System,GWREF711899,11,N,
REF5594647,TXN0000601,,UTR536058022234,MERCH0018,CUST14394,2024-02-07,2024-02-11,75443.86,25345.88,PARTIAL,PROCESSED,Duplicate Payment,Merchant,GWREF483408,12,N,
REF7331701,TXN0000602,,,MERCH0031,CUST89632,2024-04-21,,123507.69,123507.69,FULL,FAILED,Fraud Suspected,Merchant,GWREF399707,10,N,
REF9362331,TXN0000611,,UTR732097138734,MERCH0023,CUST70124,2024-11-03,2024-11-09,46425.57,46425.57,FULL,PROCESSED,Product Defective,System,GWREF728564,10,N,
REF9907425,TXN0000619,,,MERCH0003,CUST20031,2024-11-22,,123081.82,123081.82,FULL,PENDING,Chargeback Initiated,Merchant,GWREF202206,3,Y,
REF9353171,TXN0000633,,,MERCH0031,CUST67653,2024-10-07,,23787.45,23787.45,FULL,PENDING,Duplicate Payment,Bank,GWREF108481,14,N,
REF2992061,TXN0000654,,UTR891743154617,MERCH0017,CUST76680,2024-06-12,2024-06-17,119978.69,119978.69,FULL,PROCESSED,Customer Request,Bank,GWREF118313,5,N,Chargeback case
REF4427769,TXN0000680,,UTR896259976612,MERCH0040,CUST16943,2024-03-03,2024-03-06,88051.53,88051.53,FULL,PROCESSED,Chargeback Initiated,Merchant,GWREF285369,14,N,Chargeback case
REF4636335,TXN0000685,,UTR251615896500,MERCH0043,CUST81824,2024-03-23,2024-03-26,138003.87,138003.87,FULL,PROCESSED,Customer Request,System,GWREF802299,3,Y,Chargeback case
REF3662649,TXN0000702,,UTR295525418423,MERCH0025,CUST71972,2024-09-21,2024-09-24,14605.49,14605.49,FULL,PROCESSED,Chargeback Initiated,Customer,GWREF471601,9,N,
REF7218953,TXN0000706,,UTR612427394402,MERCH0044,CUST45426,2024-05-04,2024-05-11,57033.54,57033.54,FULL,PROCESSED,Item Not Delivered,Bank,GWREF922092,9,N,
REF5775499,TXN0000760,,UTR942447438452,MERCH0028,CUST46505,2024-04-12,2024-04-17,67992.47,67992.47,FULL,PROCESSED,Chargeback Initiated,Merchant,GWREF685188,8,N,
REF9859300,TXN0000777,,UTR896020390052,MERCH0026,CUST64784,2024-11-15,2024-11-20,45994.49,45994.49,FULL,PROCESSED,Customer Request,Bank,GWREF644387,1,N,
REF3259499,TXN0000801,,UTR856555336081,MERCH0034,CUST33979,2024-10-22,2024-10-25,128384.73,128384.73,FULL,PROCESSED,Product Defective,System,GWREF708845,13,N,
REF5921455,TXN0000822,,,MERCH0047,CUST78743,2024-06-02,,128763.85,128763.85,FULL,PENDING,Product Defective,System,GWREF669689,7,N,
REF6474925,TXN0000828,,,MERCH0017,CUST48063,2024-10-30,,93195.74,93195.74,FULL,INITIATED,Duplicate Payment,Customer,GWREF241556,13,N,
REF1121204,TXN0000832,,UTR505903015202,MERCH0004,CUST63453,2024-11-01,2024-11-08,60661.62,31916.67,PARTIAL,PROCESSED,Customer Request,Bank,GWREF213928,6,N,
REF4090190,TXN0000833,,UTR374367334934,MERCH0048,CUST38299,2024-06-28,2024-07-03,4626.52,2730.10,PARTIAL,PROCESSED,Item Not Delivered,Merchant,GWREF880497,2,N,
REF4323424,TXN0000837,,,MERCH0001,CUST97518,2024-11-29,,71793.43,71793.43,FULL,PENDING,Fraud Suspected,Bank,GWREF969644,7,N,
REF1982059,TXN0000841,,UTR759282648553,MERCH0046,CUST32445,2024-07-02,2024-07-08,143131.28,143131.28,FULL,PROCESSED,Fraud Suspected,System,GWREF262288,1,N,
REF1801221,TXN0000863,,UTR298817583334,MERCH0012,CUST81219,2024-04-25,2024-05-01,78897.86,54732.98,PARTIAL,PROCESSED,Chargeback Initiated,Customer,GWREF588774,8,N,
REF9693396,TXN0000888,,,MERCH0004,CUST73572,2024-06-12,,22308.56,22308.56,FULL,INITIATED,Item Not Delivered,System,GWREF962138,10,N,
REF5136046,TXN0000892,,UTR864817747435,MERCH0033,CUST58994,2024-07-25,2024-07-31,85684.59,85684.59,FULL,PROCESSED,Duplicate Payment,Customer,GWREF653310,12,N,
REF2379399,TXN0000899,,UTR806948280985,MERCH0014,CUST63396,2024-05-23,2024-05-26,96032.55,96032.55,FULL,PROCESSED,Customer Request,Customer,GWREF632618,12,N,Chargeback case
REF7979886,TXN0000912,,UTR593576372859,MERCH0028,CUST43353,2024-11-11,2024-11-16,7120.00,7120.00,FULL,PROCESSED,Item Not Delivered,System,GWREF377682,2,N,
REF9564689,TXN0000915,,UTR334551637387,MERCH0046,CUST93275,2024-08-30,2024-09-06,124013.90,124013.90,FULL,PROCESSED,Chargeback Initiated,Customer,GWREF973186,14,N,
REF2643411,TXN0000929,,UTR261579704747,MERCH0046,CUST21824,2024-07-21,2024-07-25,69117.32,69117.32,FULL,PROCESSED,Product Defective,System,GWREF626076,12,N,
REF4693728,TXN0000935,,UTR020193198983,MERCH0042,CUST21353,2024-09-25,2024-09-28,38501.03,38501.03,FULL,PROCESSED,Chargeback Initiated,Merchant,GWREF232466,3,N,
REF2415365,TXN0000941,,UTR017956886757,MERCH0041,CUST50563,2024-08-04,2024-08-11,48716.64,48716.64,FULL,PROCESSED,Duplicate Payment,Merchant,GWREF651854,7,N,
REF2742136,TXN0000947,,,MERCH0005,CUST81661,2024-06-04,,136329.54,136329.54,FULL,INITIATED,Product Defective,System,GWREF925982,12,N,
REF8639401,TXN0000961,,UTR468239775384,MERCH0020,CUST89253,2024-09-13,2024-09-18,58757.86,58757.86,FULL,PROCESSED,Duplicate Payment,Customer,GWREF578875,14,N,
REF3362825,TXN0000963,,UTR847172700347,MERCH0007,CUST91628,2024-07-29,2024-08-02,89138.08,89138.08,FULL,PROCESSED,Customer Request,Merchant,GWREF495071,14,N,
REF5347422,TXN0000973,,UTR336600476995,MERCH0040,CUST55332,2024-07-15,2024-07-20,29809.00,29809.00,FULL,PROCESSED,Item Not Delivered,Customer,GWREF553966,11,N,
REF7486123,TXN0000995,,UTR056048609214,MERCH0014,CUST19015,2024-08-09,2024-08-15,11878.25,11878.25,FULL,PROCESSED,Fraud Suspected,Bank,GWREF308105,9,N,
REF1011172,TXN0000999,,UTR333333909082,MERCH0034,CUST30095,2024-10-14,2024-10-19,23964.48,23964.48,FULL,PROCESSED,Duplicate Payment,System,GWREF452611,9,N,
REF2777188,TXN0001008,,UTR201962003154,MERCH0011,CUST11353,2024-07-20,2024-07-24,1815.70,1815.70,FULL,PROCESSED,Product Defective,Bank,GWREF906018,14,Y,
REF1722068,TXN0001016,,,MERCH0013,CUST33989,2024-09-01,,121309.06,121309.06,FULL,FAILED,Product Defective,Bank,GWREF709801,2,N,
REF9371557,TXN0001017,,UTR071731491676,MERCH0033,CUST84495,2024-07-26,2024-08-01,42246.61,42246.61,FULL,PROCESSED,Item Not Delivered,Customer,GWREF706572,7,N,
REF3389005,TXN0001018,,,MERCH0007,CUST95418,2024-08-22,,41688.88,41688.88,FULL,FAILED,Item Not Delivered,Merchant,GWREF394772,5,Y,
REF7030958,TXN0001044,,UTR683272571542,MERCH0004,CUST33481,2024-10-25,2024-10-31,111297.49,111297.49,FULL,PROCESSED,Fraud Suspected,System,GWREF499498,7,N,
REF9025884,TXN0001061,,UTR009189985539,MERCH0005,CUST17798,2024-03-04,2024-03-08,36067.69,31905.43,PARTIAL,PROCESSED,Chargeback Initiated,System,GWREF388478,5,N,Chargeback case
REF3986610,TXN0001062,,UTR938464758617,MERCH0036,CUST72215,2024-10-24,2024-10-31,4272.78,3225.60,PARTIAL,PROCESSED,Customer Request,Bank,GWREF291254,2,N,
REF4131259,TXN0001063,,,MERCH0012,CUST47960,2024-03-14,,126305.19,126305.19,FULL,PENDING,Chargeback Initiated,Customer,GWREF660470,8,Y,Chargeback case
REF6644134,TXN0001068,,UTR846173503823,MERCH0006,CUST94927,2024-04-30,2024-05-07,19805.11,17138.95,PARTIAL,PROCESSED,Product Defective,Merchant,GWREF460829,2,N,
REF2235114,TXN0001083,,UTR665770015520,MERCH0037,CUST92201,2024-10-13,2024-10-19,30115.55,30115.55,FULL,PROCESSED,Fraud Suspected,System,GWREF223205,11,N,
REF9742537,TXN0001084,,UTR662893033330,MERCH0048,CUST66280,2024-09-15,2024-09-20,107313.75,107313.75,FULL,PROCESSED,Customer Request,Bank,GWREF974171,4,Y,
REF2949367,TXN0001085,,,MERCH0010,CUST67646,2024-06-01,,45853.95,34873.40,PARTIAL,INITIATED,Item Not Delivered,Merchant,GWREF729294,12,N,
REF3973074,TXN0001087,,UTR441684500155,MERCH0033,CUST61378,2024-11-23,2024-11-29,59166.45,59166.45,FULL,PROCESSED,Customer Request,Bank,GWREF478063,6,N,
REF6019399,TXN0001128,,UTR756320861419,MERCH0038,CUST87275,2024-11-22,2024-11-26,132100.11,132100.11,FULL,PROCESSED,Duplicate Payment,Merchant,GWREF254645,5,N,
REF9518503,TXN0001149,,UTR548052182793,MERCH0020,CUST90051,2024-02-09,2024-02-16,961.07,961.07,FULL,PROCESSED,Duplicate Payment,System,GWREF268742,8,N,
REF2543063,TXN0001170,,UTR912309797867,MERCH0015,CUST51315,2024-01-14,2024-01-20,62426.62,62426.62,FULL,PROCESSED,Duplicate Payment,Customer,GWREF210379,11,N,
REF9851972,TXN0001230,,UTR282688043431,MERCH0009,CUST80256,2024-04-26,2024-05-03,88748.88,51620.21,PARTIAL,PROCESSED,Duplicate Payment,System,GWREF708390,6,N,Chargeback case
REF3689232,TXN0001232,,UTR873089329173,MERCH0003,CUST27619,2024-05-04,2024-05-11,41718.83,41718.83,FULL,PROCESSED,Fraud Suspected,Bank,GWREF369645,10,N,
REF7309642,TXN0001236,,,MERCH0018,CUST47820,2024-01-28,,124769.94,72477.46,PARTIAL,PENDING,Duplicate Payment,System,GWREF308277,13,N,
REF8603822,TXN0001243,,UTR260928811527,MERCH0004,CUST58816,2024-05-07,2024-05-11,19617.23,19617.23,FULL,PROCESSED,Customer Request,Bank,GWREF353179,3,N,
REF2548421,TXN0001257,,UTR991413504644,MERCH0019,CUST15975,2024-09-19,2024-09-26,41081.11,19120.20,PARTIAL,PROCESSED,Fraud Suspected,Bank,GWREF914202,4,N,
REF2808527,TXN0001261,,UTR903753199109,MERCH0001,CUST31177,2024-11-30,2024-12-06,45553.09,31380.25,PARTIAL,PROCESSED,Product Defective,Bank,GWREF580353,4,N,Chargeback case
REF1466547,TXN0001298,,UTR113048635167,MERCH0022,CUST48243,2024-01-26,2024-01-30,131199.22,131199.22,FULL,PROCESSED,Chargeback Initiated,Customer,GWREF708195,6,N,
REF6782315,TXN0001306,,UTR122676127537,MERCH0033,CUST48337,2024-06-28,2024-07-05,17437.25,17437.25,FULL,PROCESSED,Product Defective,Merchant,GWREF977459,3,N,
REF9205904,TXN0001308,,,MERCH0008,CUST98847,2024-10-23,,106786.51,106786.51,FULL,PENDING,Item Not Delivered,Customer,GWREF612782,5,N,
REF5305506,TXN0001314,,,MERCH0027,CUST65480,2024-02-06,,103916.36,103916.36,FULL,PENDING,Fraud Suspected,Customer,GWREF138069,1,N,
REF4667586,TXN0001330,,UTR952264275761,MERCH0050,CUST75016,2024-06-07,2024-06-10,55153.42,55153.42,FULL,PROCESSED,Duplicate Payment,System,GWREF138839,13,N,
REF6835725,TXN0001344,,UTR971907755210,MERCH0025,CUST54529,2024-09-24,2024-09-27,140422.34,140422.34,FULL,PROCESSED,Item Not Delivered,Merchant,GWREF129913,12,N,
REF8354640,TXN0001369,,,MERCH0005,CUST37026,2024-09-16,,62809.63,18992.91,PARTIAL,PENDING,Duplicate Payment,Customer,GWREF780249,9,Y,
REF6060280,TXN0001372,,UTR703867187585,MERCH0028,CUST96162,2024-05-19,2024-05-26,17746.40,7925.44,PARTIAL,PROCESSED,Duplicate Payment,System,GWREF608251,9,N,
REF1291630,TXN0001390,,UTR384397152088,MERCH0028,CUST57901,2024-05-16,2024-05-19,120083.51,120083.51,FULL,PROCESSED,Duplicate Payment,Customer,GWREF215607,13,N,Chargeback case
REF5792103,TXN0001402,,UTR083507125513,MERCH0013,CUST42697,2024-03-17,2024-03-24,44393.65,44393.65,FULL,PROCESSED,Item Not Delivered,Merchant,GWREF222492,10,N,Chargeback case
REF9170134,TXN0001405,,UTR836304326972,MERCH0025,CUST90721,2024-06-14,2024-06-20,112244.55,112244.55,FULL,PROCESSED,Chargeback Initiated,Bank,GWREF685574,4,N,
REF5561559,TXN0001448,,UTR066131773313,MERCH0006,CUST61401,2024-02-05,2024-02-12,104812.12,104812.12,FULL,PROCESSED,Customer Request,Customer,GWREF518865,8,N,
REF9508233,TXN0001454,,UTR844232122896,MERCH0040,CUST68046,2024-03-30,2024-04-05,117279.08,48215.01,PARTIAL,PROCESSED,Duplicate Payment,Bank,GWREF905619,7,N,
REF5446356,TXN0001457,,UTR757588446351,MERCH0026,CUST13608,2024-03-27,2024-04-02,37876.81,37876.81,FULL,PROCESSED,Fraud Suspected,Merchant,GWREF981778,13,N,
REF5987870,TXN0001459,,UTR213993099463,MERCH0038,CUST92804,2024-07-30,2024-08-05,36849.07,36849.07,FULL,PROCESSED,Item Not Delivered,System,GWREF451099,12,N,
REF9990536,TXN0001460,,UTR445389762272,MERCH0016,CUST68204,2024-05-17,2024-05-21,79434.62,42234.95,PARTIAL,PROCESSED,Item Not Delivered,Bank,GWREF950957,7,N,
REF1219582,TXN0001462,,UTR469693816326,MERCH0035,CUST71862,2024-06-11,2024-06-15,116364.09,116364.09,FULL,PROCESSED,Item Not Delivered,System,GWREF325199,2,N,
REF9554040,TXN0001469,,UTR028289974126,MERCH0008,CUST20135,2024-05-14,2024-05-21,136287.71,136287.71,FULL,PROCESSED,Fraud Suspected,System,GWREF371831,12,N,
REF2157964,TXN0001470,,,MERCH0030,CUST49676,2024-04-26,,135610.46,135610.46,FULL,INITIATED,Fraud Suspected,Merchant,GWREF319167,4,N,
REF3223861,TXN0001477,,,MERCH0039,CUST12605,2024-11-06,,147441.57,109889.80,PARTIAL,FAILED,Product Defective,System,GWREF402728,4,N,
REF3725568,TXN0001498,,UTR231071239092,MERCH0033,CUST11569,2024-11-19,2024-11-23,127633.55,127633.55,FULL,PROCESSED,Duplicate Payment,System,GWREF364888,2,N,
REF6882919,TXN0001502,,,MERCH0010,CUST49816,2024-10-18,,143464.14,143464.14,FULL,FAILED,Customer Request,Customer,GWREF364682,14,N,
REF3162001,TXN0001507,,,MERCH0003,CUST20644,2024-05-21,,36253.31,31690.31,PARTIAL,FAILED,Item Not Delivered,System,GWREF330211,12,N,
REF9269438,TXN0001512,,UTR691358370778,MERCH0008,CUST90402,2024-06-02,2024-06-08,32205.63,13377.28,PARTIAL,PROCESSED,Customer Request,Merchant,GWREF190229,12,N,
REF9498413,TXN0001514,,,MERCH0008,CUST73124,2024-09-30,,36251.83,36251.83,FULL,FAILED,Chargeback Initiated,Bank,GWREF275169,12,N,
REF9660301,TXN0001523,,UTR600284394096,MERCH0027,CUST43719,2024-11-27,2024-12-01,46987.55,46987.55,FULL,PROCESSED,Fraud Suspected,System,GWREF591048,12,N,
REF1128579,TXN0001539,,UTR312245777369,MERCH0033,CUST10916,2024-04-08,2024-04-12,53843.72,53843.72,FULL,PROCESSED,Customer Request,System,GWREF945922,7,N,
REF6060117,TXN0001546,,,MERCH0011,CUST65842,2024-04-18,,67812.33,67812.33,FULL,INITIATED,Fraud Suspected,System,GWREF953251,13,N,
REF1551793,TXN0001548,,UTR659537981548,MERCH0036,CUST19442,2024-07-19,2024-07-22,74557.04,74557.04,FULL,PROCESSED,Fraud Suspected,Customer,GWREF423264,3,N,
REF9453463,TXN0001564,,UTR416943336288,MERCH0005,CUST28919,2024-05-01,2024-05-05,86605.41,86605.41,FULL,PROCESSED,Customer Request,System,GWREF701512,11,N,
REF6962180,TXN0001569,,UTR696632225521,MERCH0012,CUST14295,2024-03-11,2024-03-18,34485.05,34485.05,FULL,PROCESSED,Duplicate Payment,System,GWREF464440,10,N,
REF2055238,TXN0001571,,UTR820817187866,MERCH0049,CUST31888,2024-08-20,2024-08-23,112237.51,112237.51,FULL,PROCESSED,Chargeback Initiated,System,GWREF404134,12,Y,Chargeback case
REF5023705,TXN0001575,,UTR967463904830,MERCH0011,CUST47125,2024-07-23,2024-07-26,119554.72,119554.72,FULL,PROCESSED,Fraud Suspected,Merchant,GWREF724536,14,Y,
REF8335153,TXN0001580,,UTR636838124848,MERCH0038,CUST81009,2024-11-25,2024-11-30,77794.57,77794.57,FULL,PROCESSED,Fraud Suspected,System,GWREF754606,7,Y,
REF6981745,TXN0001622,,UTR569574551654,MERCH0036,CUST46941,2024-12-03,2024-12-10,141975.62,141975.62,FULL,PROCESSED,Chargeback Initiated,System,GWREF378099,3,N,Chargeback case
REF5347221,TXN0001628,,,MERCH0014,CUST84854,2024-08-03,,126545.96,126545.96,FULL,FAILED,Product Defective,Merchant,GWREF768153,12,N,
REF6887358,TXN0001637,,,MERCH0001,CUST45009,2024-09-14,,5152.70,5152.70,FULL,PENDING,Product Defective,Merchant,GWREF545279,3,N,
REF5513271,TXN0001640,,UTR395374904483,MERCH0040,CUST36762,2024-09-11,2024-09-18,64330.04,35924.17,PARTIAL,PROCESSED,Chargeback Initiated,System,GWREF331495,4,N,
REF3276779,TXN0001644,,UTR098175074350,MERCH0040,CUST54147,2024-03-27,2024-04-01,34216.43,34216.43,FULL,PROCESSED,Customer Request,Merchant,GWREF193999,6,Y,Chargeback case
REF2371518,TXN0001665,,UTR925186273484,MERCH0036,CUST40944,2024-09-26,2024-09-29,38535.32,38535.32,FULL,PROCESSED,Duplicate Payment,Customer,GWREF440725,2,N,
REF6492618,TXN0001668,,UTR727920144457,MERCH0034,CUST92577,2024-01-22,2024-01-27,145080.39,145080.39,FULL,PROCESSED,Fraud Suspected,System,GWREF389121,13,N,
REF5071121,TXN0001671,,,MERCH0048,CUST61154,2024-03-05,,51063.41,51063.41,FULL,INITIATED,Duplicate Payment,System,GWREF288536,10,N,
REF9156602,TXN0001676,,UTR640603925957,MERCH0020,CUST48722,2024-03-23,2024-03-29,123603.55,123603.55,FULL,PROCESSED,Item Not Delivered,Bank,GWREF637633,5,N,Chargeback case
REF4611051,TXN0001692,,UTR401747127884,MERCH0006,CUST54908,2024-05-07,2024-05-10,98818.12,98818.12,FULL,PROCESSED,Customer Request,Merchant,GWREF955447,14,N,Chargeback case
