bank_txn_id,transaction_id,utr_number,merchant_id,acquirer_bank,settlement_date,value_date,bank_settled_amount,charges_deducted,gst_deducted,currency_code,settlement_status,batch_id,neft_ifsc,mismatch_reason,narration
BNKTXN5298533,TXN0000055,UTR382675869261,MERCH0032,ICICI Bank,26-02-2024,27-02-2024,147767.25,1622.06,291.97,INR,SETTLED,BATCH202402244,HDFC2141,,Settlement for TXN0000055
BNKTXN6378704,TXN0000056,UTR506431713900,MERCH0022,PNB,02-04-2024,03-04-2024,101045.82,1821.94,327.95,INR,SETTLED,BATCH202404011,HDFC8816,,Settlement for TXN0000056
BNKTXN5308988,TXN0000058,UTR950240268117,MERCH0029,Kotak,14-09-2024,15-09-2024,52606.23,1162.2,209.2,INR,SETTLED,BATCH202409135,HDFC8060,,Settlement for TXN0000058
BNKTXN7867459,TXN0000060,UTR124998569847,MERCH0033,HDFC Bank,04-10-2024,05-10-2024,11936.65,227.88,41.02,INR,SETTLED,BATCH202410031,HDFC3611,,Settlement for TXN0000060
BNKTXN8382872,TXN0000061,UTR615654527111,MERCH0006,Yes Bank,17-06-2024,18-06-2024,50045.81,826.99,148.86,INR,SETTLED,BATCH202406162,HDFC4186,,Settlement for TXN0000061
BNKTXN4316133,TXN0000062,UTR604945198327,MERCH0015,PNB,17-08-2024,18-08-2024,98953.12,1565.37,281.77,INR,SETTLED,BATCH202408151,HDFC6658,,Settlement for TXN0000062
BNKTXN5956011,TXN0000063,UTR998094024455,MERCH0001,Kotak,11-08-2024,12-08-2024,82361.36,1790.98,322.38,INR,SETTLED,BATCH202408101,HDFC4166,Fee Rounding,Settlement for TXN0000063
BNKTXN3879957,TXN0000064,UTR459910229014,MERCH0029,Axis Bank,18-10-2024,19-10-2024,67290.07,784.12,141.14,INR,SETTLED,BATCH202410164,HDFC5275,,Settlement for TXN0000064
BNKTXN4879506,TXN0000065,UTR978403690034,MERCH0014,ICICI Bank,26-03-2024,27-03-2024,63642.53,873.02,157.14,INR,SETTLED,BATCH202403241,HDFC7688,,Settlement for TXN0000065
BNKTXN6797138,TXN0000066,UTR851606071596,MERCH0037,ICICI Bank,19-10-2024,20-10-2024,78897.31,1013.41,182.41,INR,SETTLED,BATCH202410172,HDFC7551,,Settlement for TXN0000066
BNKTXN4397351,TXN0000067,UTR696816453521,MERCH0033,Kotak,21-11-2024,22-11-2024,64834.28,700.82,126.15,INR,SETTLED,BATCH202411193,HDFC1021,Fee Rounding,Settlement for TXN0000067
BNKTXN3807829,TXN0000068,UTR432921277997,MERCH0044,ICICI Bank,11-10-2024,12-10-2024,21959.82,236.27,42.53,INR,SETTLED,BATCH202410092,HDFC9374,,Settlement for TXN0000068
BNKTXN8451043,TXN0000069,UTR581477005411,MERCH0040,Axis Bank,28-01-2024,29-01-2024,117254.09,2205.55,397.0,INR,SETTLED,BATCH202401275,HDFC4363,,Settlement for TXN0000069
BNKTXN7993367,TXN0000070,UTR820715182037,MERCH0029,Kotak,25-06-2024,26-06-2024,27748.3,528.21,95.08,INR,SETTLED,BATCH202406233,HDFC8668,,Settlement for TXN0000070
BNKTXN5823510,TXN0000071,UTR515186449251,MERCH0038,ICICI Bank,31-05-2024,01-06-2024,87762.93,1940.06,349.21,INR,SETTLED,BATCH202405304,HDFC4281,,Settlement for TXN0000071
BNKTXN2764149,TXN0000072,UTR528168505423,MERCH0022,SBI,21-08-2024,22-08-2024,82242.2,1618.16,291.27,INR,SETTLED,BATCH202408191,HDFC6038,,Settlement for TXN0000072
BNKTXN1536214,TXN0000073,UTR805929622292,MERCH0047,Axis Bank,25-11-2024,26-11-2024,79302.58,1686.05,303.49,INR,SETTLED,BATCH202411232,HDFC1955,,Settlement for TXN0000073
BNKTXN7194592,TXN0000076,UTR613750606853,MERCH0025,SBI,04-02-2024,05-02-2024,134258.3,1542.37,277.63,INR,SETTLED,BATCH202402021,HDFC5836,,Settlement for TXN0000076
BNKTXN2679592,TXN0000077,UTR277901043289,MERCH0034,PNB,04-11-2024,05-11-2024,135334.78,2278.78,410.18,INR,SETTLED,BATCH202411031,HDFC7466,,Settlement for TXN0000077
BNKTXN3889924,TXN0000078,UTR798089324609,MERCH0023,Axis Bank,14-06-2024,15-06-2024,9255.97,211.96,38.15,INR,SETTLED,BATCH202406121,HDFC5338,,Settlement for TXN0000078
BNKTXN3155346,TXN0000079,UTR067065405153,MERCH0047,PNB,28-01-2024,29-01-2024,115952.61,2019.92,363.59,INR,SETTLED,BATCH202401273,HDFC3140,,Settlement for TXN0000079
BNKTXN7526710,TXN0000080,UTR772217043030,MERCH0021,Axis Bank,19-01-2024,20-01-2024,94287.99,2149.21,386.86,INR,SETTLED,BATCH202401181,HDFC7851,,Settlement for TXN0000080
BNKTXN4000337,TXN0000082,,MERCH0029,SBI,24-05-2024,25-05-2024,117702.41,2479.75,446.35,INR,SETTLED,BATCH202405223,HDFC6895,,Settlement for TXN0000082
BNKTXN5589876,TXN0000084,UTR135569092755,MERCH0029,SBI,14-01-2024,15-01-2024,116087.6,1120.13,201.62,INR,SETTLED,BATCH202401133,HDFC8588,,Settlement for TXN0000084
BNKTXN7419873,TXN0000085,UTR144739473121,MERCH0029,HDFC Bank,15-02-2024,16-02-2024,75851.22,1834.68,330.24,INR,SETTLED,BATCH202402143,HDFC4009,,Settlement for TXN0000085
BNKTXN9039197,TXN0000087,UTR957829114678,MERCH0027,HDFC Bank,21-03-2024,22-03-2024,73033.39,1095.2,197.14,INR,SETTLED,BATCH202403191,HDFC8804,,Settlement for TXN0000087
BNKTXN2254019,TXN0000088,UTR922680182422,MERCH0021,Kotak,30-06-2024,01-07-2024,128870.65,2829.47,509.3,INR,SETTLED,BATCH202406293,HDFC9710,,Settlement for TXN0000088
BNKTXN8715373,TXN0000089,UTR182992299590,MERCH0002,Yes Bank,04-09-2024,05-09-2024,92006.29,1765.81,317.85,INR,SETTLED,BATCH202409033,HDFC9571,,Settlement for TXN0000089
BNKTXN9290022,TXN0000090,UTR844736471027,MERCH0027,SBI,26-10-2024,27-10-2024,4467.71,106.63,19.19,INR,SETTLED,BATCH202410242,HDFC2182,Fee Rounding,Settlement for TXN0000090
BNKTXN1066111,TXN0000092,UTR963259532787,MERCH0032,HDFC Bank,24-06-2024,25-06-2024,42907.4,659.89,118.78,INR,SETTLED,BATCH202406232,HDFC9732,,Settlement for TXN0000092
BNKTXN1201428,TXN0000093,UTR748016245650,MERCH0026,Kotak,16-08-2024,17-08-2024,72542.7,1716.69,309.0,INR,SETTLED,BATCH202408141,HDFC6227,,Settlement for TXN0000093
BNKTXN3784753,TXN0000094,UTR912165585239,MERCH0033,HDFC Bank,16-07-2024,17-07-2024,121456.61,2348.82,422.79,INR,SETTLED,BATCH202407142,HDFC3230,,Settlement for TXN0000094
BNKTXN1796723,TXN0000095,UTR595269495888,MERCH0032,Axis Bank,10-11-2024,11-11-2024,89389.9,1568.87,282.4,INR,SETTLED,BATCH202411083,HDFC7508,,Settlement for TXN0000095
BNKTXN4858019,TXN0000096,UTR097499309728,MERCH0041,SBI,19-09-2024,20-09-2024,45090.68,1079.85,194.37,INR,SETTLED,BATCH202409185,HDFC5786,Fee Rounding,Settlement for TXN0000096
BNKTXN8366557,TXN0000097,UTR689702838578,MERCH0025,Axis Bank,17-03-2024,18-03-2024,22300.89,456.23,82.12,INR,SETTLED,BATCH202403153,HDFC1942,,Settlement for TXN0000097
BNKTXN8008132,TXN0000100,UTR473384842199,MERCH0016,Yes Bank,18-01-2024,19-01-2024,51151.36,835.85,150.45,INR,SETTLED,BATCH202401172,HDFC4761,,Settlement for TXN0000100
BNKTXN2965741,TXN0000101,UTR082677345401,MERCH0042,Kotak,10-02-2024,11-02-2024,14804.02,322.69,58.08,INR,SETTLED,BATCH202402082,HDFC8940,,Settlement for TXN0000101
BNKTXN5621970,TXN0000103,UTR287431527420,MERCH0048,Kotak,22-04-2024,23-04-2024,76844.16,1827.4,328.93,INR,SETTLED,BATCH202404202,HDFC6982,,Settlement for TXN0000103
BNKTXN4325914,TXN0000104,UTR275304637454,MERCH0038,ICICI Bank,18-11-2024,19-11-2024,59521.75,633.2,113.98,INR,SETTLED,BATCH202411171,HDFC3844,,Settlement for TXN0000104
BNKTXN9975013,TXN0000105,UTR414593327279,MERCH0024,Axis Bank,30-06-2024,01-07-2024,73644.4,1758.54,316.54,INR,SETTLED,BATCH202406292,HDFC2334,,Settlement for TXN0000105
BNKTXN2905301,TXN0000107,,MERCH0037,Axis Bank,12-08-2024,13-08-2024,126120.4,2059.78,370.76,INR,SETTLED,BATCH202408101,HDFC3059,,Settlement for TXN0000107
BNKTXN3519897,TXN0000110,UTR230047868633,MERCH0030,ICICI Bank,11-09-2024,12-09-2024,146650.43,2276.94,409.85,INR,SETTLED,BATCH202409101,HDFC9934,,Settlement for TXN0000110
BNKTXN4884873,TXN0000113,UTR268705685662,MERCH0020,PNB,27-04-2024,28-04-2024,86927.3,1843.18,331.77,INR,SETTLED,BATCH202404263,HDFC3639,,Settlement for TXN0000113
BNKTXN1886030,TXN0000114,UTR826343517518,MERCH0047,ICICI Bank,09-11-2024,10-11-2024,60960.9,970.09,174.62,INR,SETTLED,BATCH202411085,HDFC6609,,Settlement for TXN0000114
BNKTXN8317158,TXN0000116,UTR546785445877,MERCH0007,SBI,05-04-2024,06-04-2024,58761.32,763.66,137.46,INR,SETTLED,BATCH202404044,HDFC4080,,Settlement for TXN0000116
BNKTXN9744978,TXN0000119,UTR387509977008,MERCH0036,HDFC Bank,10-06-2024,11-06-2024,10124.86,116.93,21.05,INR,SETTLED,BATCH202406093,HDFC1205,,Settlement for TXN0000119
BNKTXN2626825,TXN0000120,,MERCH0006,Axis Bank,16-07-2024,17-07-2024,118086.06,2848.79,512.78,INR,SETTLED,BATCH202407142,HDFC4856,,Settlement for TXN0000120
BNKTXN2345177,TXN0000121,UTR016668700217,MERCH0028,Kotak,23-09-2024,24-09-2024,145866.09,2885.53,519.4,INR,SETTLED,BATCH202409225,HDFC3644,,Settlement for TXN0000121
BNKTXN3792949,TXN0000124,UTR850163159996,MERCH0050,Yes Bank,30-05-2024,31-05-2024,145219.85,3052.42,549.44,INR,SETTLED,BATCH202405294,HDFC8273,,Settlement for TXN0000124
BNKTXN6257918,TXN0000125,UTR619431142626,MERCH0021,HDFC Bank,20-05-2024,21-05-2024,27388.73,512.66,92.28,INR,SETTLED,BATCH202405184,HDFC1747,,Settlement for TXN0000125
BNKTXN1341923,TXN0000126,UTR886101581995,MERCH0025,Axis Bank,23-10-2024,24-10-2024,27693.9,455.5,81.99,INR,SETTLED,BATCH202410225,HDFC5925,,Settlement for TXN0000126
BNKTXN3227112,TXN0000127,UTR472126464715,MERCH0017,Kotak,11-08-2024,12-08-2024,25128.01,338.78,60.98,INR,SETTLED,BATCH202408104,HDFC1184,,Settlement for TXN0000127
BNKTXN5961558,TXN0000129,UTR654793564651,MERCH0037,Kotak,05-05-2024,06-05-2024,71026.32,851.19,153.21,INR,SETTLED,BATCH202405045,HDFC5753,,Settlement for TXN0000129
BNKTXN8172200,TXN0000130,UTR167243426617,MERCH0039,Axis Bank,10-10-2024,11-10-2024,64897.46,898.86,161.79,INR,SETTLED,BATCH202410094,HDFC2184,,Settlement for TXN0000130
BNKTXN6323845,TXN0000131,,MERCH0001,SBI,04-11-2024,05-11-2024,104404.82,2254.43,405.8,INR,SETTLED,BATCH202411035,HDFC6481,Partial Settlement,Settlement for TXN0000131
BNKTXN1579934,TXN0000132,UTR250714611254,MERCH0022,Kotak,24-06-2024,25-06-2024,99905.57,2043.78,367.88,INR,SETTLED,BATCH202406224,HDFC7171,,Settlement for TXN0000132
BNKTXN4802306,TXN0000133,UTR512382825867,MERCH0015,SBI,04-05-2024,05-05-2024,105633.1,998.21,179.68,INR,SETTLED,BATCH202405031,HDFC9978,,Settlement for TXN0000133
BNKTXN1311073,TXN0000134,UTR191825537147,MERCH0034,Kotak,24-06-2024,25-06-2024,104425.48,1299.63,233.93,INR,SETTLED,BATCH202406234,HDFC5731,,Settlement for TXN0000134
BNKTXN4822342,TXN0000136,UTR282742257905,MERCH0001,SBI,15-03-2024,16-03-2024,134584.13,3294.06,592.93,INR,SETTLED,BATCH202403135,HDFC3853,,Settlement for TXN0000136
BNKTXN1915575,TXN0000137,,MERCH0037,Kotak,09-06-2024,10-06-2024,123872.7,2119.08,381.43,INR,SETTLED,BATCH202406071,HDFC4476,,Settlement for TXN0000137
BNKTXN5358834,TXN0000139,UTR133959629233,MERCH0004,Kotak,15-01-2024,16-01-2024,120555.08,1963.37,353.41,INR,SETTLED,BATCH202401133,HDFC3684,,Settlement for TXN0000139
BNKTXN2576328,TXN0000141,UTR672946671168,MERCH0048,Axis Bank,07-04-2024,08-04-2024,36334.6,836.23,150.52,INR,SETTLED,BATCH202404061,HDFC8122,,Settlement for TXN0000141
BNKTXN4389603,TXN0000142,UTR863637454589,MERCH0009,PNB,11-10-2024,12-10-2024,102288.51,2364.33,425.58,INR,SETTLED,BATCH202410101,HDFC3158,Fee Rounding,Settlement for TXN0000142
BNKTXN4015664,TXN0000145,UTR293870051627,MERCH0005,HDFC Bank,17-06-2024,18-06-2024,209.35,3.54,0.64,INR,SETTLED,BATCH202406151,HDFC5922,,Settlement for TXN0000145
BNKTXN5271460,TXN0000146,UTR221890927532,MERCH0027,PNB,23-05-2024,24-05-2024,113587.9,2442.5,439.65,INR,SETTLED,BATCH202405221,HDFC4002,,Settlement for TXN0000146
BNKTXN8224753,TXN0000148,UTR389836403761,MERCH0016,HDFC Bank,31-10-2024,01-11-2024,124143.9,2924.25,526.37,INR,SETTLED,BATCH202410293,HDFC3438,,Settlement for TXN0000148
BNKTXN9438571,TXN0000150,UTR661889241418,MERCH0014,ICICI Bank,04-11-2024,05-11-2024,104648.74,2274.35,409.38,INR,SETTLED,BATCH202411021,HDFC7485,Fee Rounding,Settlement for TXN0000150
BNKTXN8486753,TXN0000152,UTR884252410564,MERCH0034,Yes Bank,07-01-2024,08-01-2024,24019.79,596.91,107.44,INR,SETTLED,BATCH202401051,HDFC2212,,Settlement for TXN0000152
BNKTXN9022391,TXN0000154,UTR195180238061,MERCH0030,ICICI Bank,29-03-2024,30-03-2024,106615.67,1441.5,259.47,INR,SETTLED,BATCH202403283,HDFC2490,,Settlement for TXN0000154
BNKTXN3682320,TXN0000155,UTR973832060385,MERCH0041,HDFC Bank,25-04-2024,26-04-2024,91892.16,1534.33,276.18,INR,SETTLED,BATCH202404234,HDFC4811,,Settlement for TXN0000155
BNKTXN9130911,TXN0000157,UTR619906234456,MERCH0045,Axis Bank,28-06-2024,29-06-2024,14221.61,160.16,28.83,INR,SETTLED,BATCH202406271,HDFC4414,,Settlement for TXN0000157
BNKTXN2685387,TXN0000158,UTR756185374741,MERCH0006,PNB,23-02-2024,24-02-2024,23082.21,271.6,48.89,INR,SETTLED,BATCH202402225,HDFC8148,,Settlement for TXN0000158
BNKTXN3912159,TXN0000159,UTR568044206788,MERCH0016,HDFC Bank,25-03-2024,26-03-2024,13549.31,178.06,32.05,INR,SETTLED,BATCH202403241,HDFC3205,,Settlement for TXN0000159
BNKTXN5167795,TXN0000161,UTR510702966706,MERCH0044,ICICI Bank,27-01-2024,28-01-2024,120133.03,1271.3,228.83,INR,SETTLED,BATCH202401264,HDFC3824,,Settlement for TXN0000161
BNKTXN5303837,TXN0000162,UTR870146263838,MERCH0002,Axis Bank,16-01-2024,17-01-2024,95460.26,1649.14,296.85,INR,SETTLED,BATCH202401143,HDFC3749,,Settlement for TXN0000162
BNKTXN5035002,TXN0000165,UTR870593252500,MERCH0010,PNB,10-03-2024,11-03-2024,34495.19,436.68,78.6,INR,SETTLED,BATCH202403093,HDFC9593,,Settlement for TXN0000165
BNKTXN8063161,TXN0000166,UTR522675289539,MERCH0012,Yes Bank,26-05-2024,27-05-2024,86658.43,1264.77,227.66,INR,SETTLED,BATCH202405252,HDFC7478,,Settlement for TXN0000166
BNKTXN6606762,TXN0000168,UTR100676267658,MERCH0025,PNB,06-01-2024,07-01-2024,10081.94,133.89,24.1,INR,SETTLED,BATCH202401052,HDFC9121,,Settlement for TXN0000168
BNKTXN1496608,TXN0000170,UTR296201533688,MERCH0017,ICICI Bank,13-05-2024,14-05-2024,71748.53,687.85,123.81,INR,SETTLED,BATCH202405111,HDFC1626,,Settlement for TXN0000170
BNKTXN6288028,TXN0000171,UTR149731032417,MERCH0008,Axis Bank,11-08-2024,12-08-2024,8148.49,74.51,13.41,INR,SETTLED,BATCH202408103,HDFC4106,,Settlement for TXN0000171
BNKTXN5913264,TXN0000172,UTR704774349021,MERCH0006,PNB,07-09-2024,08-09-2024,130849.08,1980.55,356.5,INR,SETTLED,BATCH202409065,HDFC4032,,Settlement for TXN0000172
BNKTXN5276786,TXN0000173,UTR793741608989,MERCH0044,HDFC Bank,03-08-2024,04-08-2024,76494.05,1917.16,345.09,INR,SETTLED,BATCH202408022,HDFC1166,,Settlement for TXN0000173
BNKTXN5954854,TXN0000174,UTR329451168685,MERCH0018,PNB,11-11-2024,12-11-2024,11566.16,235.2,42.34,INR,SETTLED,BATCH202411095,HDFC4215,,Settlement for TXN0000174
BNKTXN2913881,TXN0000175,UTR119148564679,MERCH0039,SBI,15-02-2024,16-02-2024,86346.47,1864.25,335.56,INR,SETTLED,BATCH202402135,HDFC3609,,Settlement for TXN0000175
BNKTXN3387271,TXN0000177,UTR247546913736,MERCH0048,PNB,24-11-2024,25-11-2024,14439.26,338.44,60.92,INR,SETTLED,BATCH202411235,HDFC5998,,Settlement for TXN0000177
BNKTXN4323798,TXN0000178,UTR902330307053,MERCH0018,Kotak,27-01-2024,28-01-2024,19929.44,461.25,83.02,INR,SETTLED,BATCH202401261,HDFC8412,,Settlement for TXN0000178
BNKTXN1456638,TXN0000179,UTR855241406029,MERCH0050,Yes Bank,26-05-2024,27-05-2024,141689.26,2390.77,430.34,INR,SETTLED,BATCH202405242,HDFC6815,,Settlement for TXN0000179
BNKTXN2313989,TXN0000180,,MERCH0025,ICICI Bank,12-09-2024,13-09-2024,114565.43,2491.1,448.4,INR,SETTLED,BATCH202409105,HDFC7219,,Settlement for TXN0000180
BNKTXN7295924,TXN0000181,UTR589944171545,MERCH0018,SBI,16-08-2024,17-08-2024,97179.25,2235.09,402.32,INR,SETTLED,BATCH202408141,HDFC5013,Fee Rounding,Settlement for TXN0000181
BNKTXN2242539,TXN0000182,UTR446660993538,MERCH0041,Kotak,14-09-2024,15-09-2024,3801.44,65.58,11.8,INR,SETTLED,BATCH202409135,HDFC1352,,Settlement for TXN0000182
BNKTXN6763986,TXN0000183,UTR251353465549,MERCH0019,Axis Bank,25-04-2024,26-04-2024,37954.25,851.78,153.32,INR,SETTLED,BATCH202404245,HDFC5192,Fee Rounding,Settlement for TXN0000183
BNKTXN2182099,TXN0000184,UTR460223569725,MERCH0046,Axis Bank,04-07-2024,05-07-2024,128165.43,1965.86,353.85,INR,SETTLED,BATCH202407022,HDFC1012,,Settlement for TXN0000184
BNKTXN8312306,TXN0000185,UTR927129666676,MERCH0001,SBI,04-09-2024,05-09-2024,30774.66,672.23,121.0,INR,SETTLED,BATCH202409035,HDFC2326,,Settlement for TXN0000185
BNKTXN7203635,TXN0000186,UTR542168942104,MERCH0019,Kotak,08-01-2024,09-01-2024,36610.21,750.82,135.15,INR,SETTLED,BATCH202401074,HDFC9145,,Settlement for TXN0000186
BNKTXN7305650,TXN0000187,UTR603323098215,MERCH0046,Axis Bank,14-05-2024,15-05-2024,111220.19,1309.64,235.74,INR,SETTLED,BATCH202405135,HDFC5306,,Settlement for TXN0000187
