transaction_id,utr_number,merchant_id,customer_id,payment_method,payment_gateway,acquirer_bank,transaction_date,transaction_time,gross_amount,fee_amount,gst_on_fee,net_amount,currency_code,payment_status,vpa_id,bank_reference_no,error_code,device_type,ip_address,reversal_flag,batch_id,settlement_cycle,remarks
TXN0000032,UTR657262849877,MERCH0028,CUST87656,Net Banking,Cashfree,ICICI Bank,2024-07-15,11:53:46,63037.81,1061.76,191.12,61976.05,INR,SUCCESS,,BNKREF993085,,Mobile,214.68.241.180,N,BATCH202407151,T+2,
TXN0000033,UTR075273545494,MERCH0036,CUST11330,UPI,Stripe,SBI,2024-06-24,01:46:45,91569.24,1379.38,248.29,90189.86,INR,SUCCESS,ladli97@okhdfcbank,BNKREF855053,,Desktop,31.105.197.232,N,BATCH202406244,T+1,
TXN0000034,UTR436349578856,MERCH0048,CUST82140,Net Banking,Cashfree,ICICI Bank,2024-09-25,04:56:44,67253.77,623.84,112.29,66629.93,INR,SUCCESS,,BNKREF836996,,Desktop,78.2.105.149,N,BATCH202409253,T+2,
TXN0000035,,MERCH0049,CUST34267,UPI,PayU,SBI,2024-04-07,15:15:07,47366.41,989.3,178.07,46377.11,INR,FAILED,falguni766@okicici,BNKREF389930,ERR841,Tablet,103.86.255.195,N,BATCH202404075,T+2,
TXN0000036,UTR824008427109,MERCH0019,CUST71524,Debit Card,PayTM Gateway,Axis Bank,2024-02-09,00:58:16,54164.12,749.43,134.9,53414.69,INR,SUCCESS,,BNKREF457256,,Mobile,176.224.216.92,N,BATCH202402091,T+2,
TXN0000037,UTR022941318699,MERCH0040,CUST39581,UPI,Stripe,Axis Bank,2024-07-04,12:45:31,73787.4,1345.32,242.16,72442.08,INR,SUCCESS,januja471@okicici,BNKREF411797,,Tablet,90.250.251.94,N,BATCH202407044,T+2,
TXN0000038,UTR334123281206,MERCH0029,CUST87832,Net Banking,PayTM Gateway,ICICI Bank,2024-08-08,20:00:38,111026.39,2682.56,482.86,108343.83,INR,SUCCESS,,BNKREF134225,,Mobile,137.104.94.44,N,BATCH202408083,T+2,
TXN0000039,UTR936183242102,MERCH0020,CUST87993,Debit Card,Stripe,ICICI Bank,2024-09-30,00:19:08,35051.9,463.84,83.49,34588.06,INR,SUCCESS,,BNKREF560485,,Mobile,195.211.141.80,N,BATCH202409304,T+2,
TXN0000040,UTR906594013990,MERCH0049,CUST98117,UPI,Cashfree,Kotak,2024-09-28,17:59:26,81020.24,1296.66,233.4,79723.58,INR,SUCCESS,abeer51@ibl,BNKREF893005,,Mobile,179.125.0.244,N,BATCH202409284,T+2,
TXN0000041,UTR175655125674,MERCH0043,CUST62488,UPI,Stripe,HDFC Bank,2024-04-18,00:36:25,95235.97,1606.4,289.15,93629.57,INR,SUCCESS,chakradhar475@oksbi,BNKREF429795,,Desktop,202.37.180.208,N,BATCH202404183,T+1,
TXN0000042,UTR876038597703,MERCH0018,CUST81987,UPI,PayU,ICICI Bank,2024-10-27,00:40:06,148218.48,2893.61,520.85,145324.87,INR,SUCCESS,gaurangi458@ybl,BNKREF608257,,Mobile,54.125.25.32,N,BATCH202410271,T+1,
TXN0000043,UTR171274846773,MERCH0030,CUST82255,UPI,PayU,Axis Bank,2024-10-02,15:39:19,82860.1,869.31,156.48,81990.79,INR,SUCCESS,girish205@paytm,BNKREF632929,,Tablet,185.195.173.81,N,BATCH202410022,T+1,
TXN0000044,,MERCH0018,CUST10336,Credit Card,Cashfree,Yes Bank,2024-04-17,06:48:44,51014.29,1102.09,198.38,49912.2,INR,PENDING,,BNKREF413058,,Tablet,159.165.234.133,N,BATCH202404175,T+2,
TXN0000045,UTR675339636057,MERCH0046,CUST59968,UPI,PayTM Gateway,Yes Bank,2024-02-27,17:00:34,49899.37,1058.16,190.47,48841.21,INR,SUCCESS,warjas821@ibl,BNKREF783691,,Mobile,64.108.131.7,N,BATCH202402274,T+1,
TXN0000046,UTR718702621745,MERCH0040,CUST62098,Net Banking,Razorpay,PNB,2024-02-19,00:42:01,130461.56,2998.93,539.81,127462.63,INR,SUCCESS,,BNKREF444525,,Tablet,4.155.26.8,N,BATCH202402195,T+2,
TXN0000047,,MERCH0040,CUST18968,Net Banking,PayU,Yes Bank,2024-05-02,23:29:45,73217.73,1292.75,232.69,71924.98,INR,PENDING,,BNKREF817644,,Desktop,207.86.80.41,N,BATCH202405022,T+1,
TXN0000048,,MERCH0011,CUST49251,Wallet,Razorpay,HDFC Bank,2024-06-17,12:54:26,105598.43,1120.2,201.64,104478.23,INR,FAILED,,BNKREF440131,ERR915,Mobile,134.9.142.210,N,BATCH202406173,T+2,
TXN0000049,UTR222196937923,MERCH0030,CUST93611,UPI,Cashfree,Axis Bank,2024-05-25,13:46:19,61837.16,1231.1,221.6,60606.06,INR,SUCCESS,aahana271@ybl,BNKREF109853,,Desktop,108.240.193.169,N,BATCH202405253,T+1,
TXN0000050,UTR647436713695,MERCH0037,CUST48780,UPI,Cashfree,HDFC Bank,2024-01-29,16:26:34,88156.38,1694.63,305.03,86461.75,INR,SUCCESS,aadi859@ybl,BNKREF515032,,Desktop,196.195.3.3,N,BATCH202401291,T+1,
TXN0000051,,MERCH0015,CUST89569,Credit Card,Cashfree,SBI,2024-08-23,12:07:05,135445.09,2900.13,522.02,132544.96,INR,FAILED,,BNKREF767542,ERR294,Tablet,17.53.9.162,N,BATCH202408233,T+1,
TXN0000052,UTR095214562328,MERCH0024,CUST79579,UPI,Stripe,ICICI Bank,2024-08-31,23:41:48,5961.41,128.87,23.2,5832.54,INR,SUCCESS,aayush860@okhdfcbank,BNKREF369452,,Desktop,146.28.221.86,N,BATCH202408313,T+2,
TXN0000053,,MERCH0044,CUST98395,UPI,PayTM Gateway,PNB,2024-11-08,07:59:26,21156.51,517.57,93.16,20638.94,INR,REFUNDED,chatura833@paytm,BNKREF483542,,Mobile,103.196.45.60,Y,BATCH202411084,T+1,
TXN0000054,UTR965137098593,MERCH0042,CUST18285,Net Banking,PayTM Gateway,Yes Bank,2024-04-12,16:55:57,100940.62,1994.33,358.98,98946.29,INR,SUCCESS,,BNKREF416869,,Tablet,21.108.108.94,N,BATCH202404124,T+1,
TXN0000055,UTR382675869261,MERCH0032,CUST90694,UPI,PayTM Gateway,ICICI Bank,2024-02-24,06:48:58,149389.31,1622.06,291.97,147767.25,INR,SUCCESS,nathaniel43@ybl,BNKREF488528,,Mobile,6.15.13.165,N,BATCH202402244,T+2,
TXN0000056,UTR506431713900,MERCH0022,CUST41925,Debit Card,PayU,PNB,2024-04-01,16:43:45,102867.76,1821.94,327.95,101045.82,INR,SUCCESS,,BNKREF692002,,Mobile,60.165.231.223,N,BATCH202404011,T+1,
TXN0000057,,MERCH0039,CUST10371,UPI,Cashfree,PNB,2024-08-15,17:29:11,49317.51,560.29,100.85,48757.22,INR,PENDING,fiyaz158@okhdfcbank,BNKREF666456,,Desktop,145.121.66.123,N,BATCH202408152,T+1,
TXN0000058,UTR950240268117,MERCH0029,CUST57453,Debit Card,Stripe,Kotak,2024-09-13,17:30:13,53768.43,1162.2,209.2,52606.23,INR,SUCCESS,,BNKREF214351,,Desktop,132.189.192.66,N,BATCH202409135,T+1,
TXN0000059,,MERCH0030,CUST94323,UPI,Razorpay,HDFC Bank,2024-08-26,21:12:40,130053.79,2255.55,406.0,127798.24,INR,FAILED,nimrat500@ibl,BNKREF521126,ERR536,Tablet,159.182.22.212,N,BATCH202408261,T+2,
TXN0000060,UTR124998569847,MERCH0033,CUST89354,Debit Card,PayTM Gateway,HDFC Bank,2024-10-03,16:03:41,12169.277830854093,227.88,41.02,11936.65,INR,SUCCESS,,BNKREF931621,,Tablet,198.123.76.144,N,BATCH202410031,T+1,
TXN0000061,UTR615654527111,MERCH0006,CUST66606,Net Banking,Razorpay,Yes Bank,2024-06-16,00:32:32,50872.8,826.99,148.86,50045.81,INR,SUCCESS,,BNKREF874683,,Desktop,163.157.136.52,N,BATCH202406162,T+1,
TXN0000062,UTR604945198327,MERCH0015,CUST24184,Wallet,Cashfree,PNB,2024-08-15,18:15:02,100518.49,1565.37,281.77,98953.12,INR,SUCCESS,,BNKREF683286,,Desktop,115.115.170.243,N,BATCH202408151,T+2,
TXN0000063,UTR998094024455,MERCH0001,CUST33777,UPI,PayU,Kotak,2024-08-10,22:59:59,84166.81,1790.98,322.38,82375.83,INR,SUCCESS,wriddhish683@okicici,BNKREF172965,,Mobile,173.130.95.192,N,BATCH202408101,T+1,
TXN0000064,UTR459910229014,MERCH0029,CUST96761,Net Banking,PayTM Gateway,Axis Bank,2024-10-16,18:15:56,68074.19,784.12,141.14,67290.07,INR,SUCCESS,,BNKREF736565,,Desktop,41.210.58.236,N,BATCH202410164,T+2,
TXN0000065,UTR978403690034,MERCH0014,CUST27987,Credit Card,Cashfree,ICICI Bank,2024-03-24,17:14:54,64515.55,873.02,157.14,63642.53,INR,SUCCESS,,BNKREF444061,,Mobile,124.254.95.108,N,BATCH202403241,T+2,
TXN0000066,UTR851606071596,MERCH0037,CUST63008,UPI,PayTM Gateway,ICICI Bank,2024-10-17,02:40:34,79910.72,1013.41,182.41,78897.31,INR,SUCCESS,advika127@okicici,BNKREF121869,,Desktop,220.89.66.225,N,BATCH202410172,T+2,
TXN0000067,UTR696816453521,MERCH0033,CUST92998,Credit Card,Razorpay,Kotak,2024-11-19,03:02:36,65534.93,700.82,126.15,64834.11,INR,SUCCESS,,BNKREF634723,,Mobile,34.108.139.238,N,BATCH202411193,T+2,
TXN0000068,UTR432921277997,MERCH0044,CUST83989,Wallet,Stripe,ICICI Bank,2024-10-09,11:39:52,22196.09,236.27,42.53,21959.82,INR,SUCCESS,,BNKREF757685,,Desktop,98.16.175.65,N,BATCH202410092,T+2,
TXN0000069,UTR581477005411,MERCH0040,CUST87867,Net Banking,Stripe,Axis Bank,2024-01-27,12:28:26,119459.64,2205.55,397.0,117254.09,INR,SUCCESS,,BNKREF585188,,Tablet,75.223.200.223,N,BATCH202401275,T+1,
TXN0000070,UTR820715182037,MERCH0029,CUST78690,Debit Card,Stripe,Kotak,2024-06-23,15:49:18,28276.51,528.21,95.08,27748.3,INR,SUCCESS,,BNKREF266457,,Desktop,221.63.211.216,N,BATCH202406233,T+2,
TXN0000071,UTR515186449251,MERCH0038,CUST96980,UPI,PayU,ICICI Bank,2024-05-30,10:59:02,89702.99,1940.06,349.21,87762.93,INR,SUCCESS,tejas327@ybl,BNKREF832409,,Tablet,205.108.28.74,N,BATCH202405304,T+1,
TXN0000072,UTR528168505423,MERCH0022,CUST73736,Credit Card,PayU,SBI,2024-08-19,02:11:10,83860.36,1618.16,291.27,82242.2,INR,SUCCESS,,BNKREF244247,,Mobile,191.171.227.213,N,BATCH202408191,T+2,
TXN0000073,UTR805929622292,MERCH0047,CUST67366,Credit Card,Razorpay,Axis Bank,2024-11-23,22:38:34,80988.63,1686.05,303.49,79302.58,INR,SUCCESS,,BNKREF481995,,Tablet,183.59.176.139,N,BATCH202411232,T+2,
TXN0000074,,MERCH0020,CUST71474,UPI,PayU,ICICI Bank,2024-08-25,03:09:42,67366.75,1181.89,212.74,66184.86,INR,FAILED,darpan704@paytm,BNKREF561999,ERR572,Desktop,144.187.94.177,N,BATCH202408254,T+2,
TXN0000075,,MERCH0042,CUST72991,Credit Card,Cashfree,Kotak,2024-03-03,22:29:29,20802.86,270.44,48.68,20532.42,INR,FAILED,,BNKREF207573,ERR828,Tablet,102.235.144.141,N,BATCH202403031,T+2,
TXN0000076,UTR613750606853,MERCH0025,CUST20696,Credit Card,Cashfree,SBI,2024-02-02,13:46:22,135800.67,1542.37,277.63,134258.3,INR,SUCCESS,,BNKREF129556,,Desktop,25.198.31.81,N,BATCH202402021,T+2,
TXN0000077,UTR277901043289,MERCH0034,CUST65476,UPI,Razorpay,PNB,2024-11-03,08:12:07,137613.56,2278.78,410.18,135334.78,INR,SUCCESS,akshay305@okhdfcbank,BNKREF415779,,Mobile,175.117.161.95,N,BATCH202411031,T+1,
TXN0000078,UTR798089324609,MERCH0023,CUST41531,Net Banking,Stripe,Axis Bank,2024-06-12,01:03:27,9467.93,211.96,38.15,9255.97,INR,SUCCESS,,BNKREF296412,,Tablet,214.161.92.249,N,BATCH202406121,T+2,
TXN0000079,UTR067065405153,MERCH0047,CUST96127,Wallet,Razorpay,PNB,2024-01-27,06:49:01,117972.53,2019.92,363.59,115952.61,INR,SUCCESS,,BNKREF710169,,Tablet,34.221.0.12,N,BATCH202401273,T+1,
TXN0000080,UTR772217043030,MERCH0021,CUST50642,UPI,Stripe,Axis Bank,2024-01-18,05:14:18,96437.2,2149.21,386.86,94287.99,INR,SUCCESS,jack844@paytm,BNKREF596395,,Desktop,96.176.30.105,N,BATCH202401181,T+1,
TXN0000081,,MERCH0008,CUST58237,UPI,PayTM Gateway,Axis Bank,2024-04-21,02:44:48,129876.45,1858.64,334.56,128017.81,INR,FAILED,samar771@okicici,BNKREF505426,ERR447,Mobile,29.110.158.58,N,BATCH202404214,T+2,
TXN0000082,,MERCH0029,CUST88986,Debit Card,PayTM Gateway,SBI,2024-05-22,15:55:17,120182.16,2479.75,446.35,117702.41,INR,SUCCESS,,BNKREF823270,,Desktop,113.173.195.97,N,BATCH202405223,T+2,
TXN0000083,,MERCH0041,CUST17518,Credit Card,Razorpay,Yes Bank,2024-01-17,10:46:43,92246.98,1472.17,264.99,90774.81,INR,REFUNDED,,BNKREF768480,,Desktop,188.0.167.13,Y,BATCH202401173,T+1,
TXN0000084,UTR135569092755,MERCH0029,CUST20077,UPI,Stripe,SBI,2024-01-13,02:15:05,117207.73,1120.13,201.62,116087.6,INR,SUCCESS,jonathan552@okaxis,BNKREF517368,,Desktop,30.30.235.159,N,BATCH202401133,T+1,
TXN0000085,UTR144739473121,MERCH0029,CUST32630,UPI,PayTM Gateway,HDFC Bank,2024-02-14,01:25:03,77685.9,1834.68,330.24,75851.22,INR,SUCCESS,varenya839@ybl,BNKREF986593,,Desktop,91.80.249.162,N,BATCH202402143,T+1,
TXN0000086,,MERCH0045,CUST93584,Net Banking,PayU,PNB,2024-08-01,14:20:41,127711.74,2603.91,468.7,125107.83,INR,PENDING,,BNKREF479052,,Tablet,16.255.131.25,N,BATCH202408012,T+1,
TXN0000087,UTR957829114678,MERCH0027,CUST63665,Credit Card,Stripe,HDFC Bank,2024-03-19,01:16:22,74128.59,1095.2,197.14,73033.39,INR,SUCCESS,,BNKREF231414,,Desktop,9.86.185.166,N,BATCH202403191,T+2,
TXN0000088,UTR922680182422,MERCH0021,CUST39552,Credit Card,Cashfree,Kotak,2024-06-29,21:52:48,131700.12,2829.47,509.3,128870.65,INR,SUCCESS,,BNKREF397846,,Mobile,67.136.70.199,N,BATCH202406293,T+1,
TXN0000089,UTR182992299590,MERCH0002,CUST20646,Wallet,Razorpay,Yes Bank,2024-09-03,15:09:39,93776.8478308541,1765.81,317.85,92006.29,INR,SUCCESS,,BNKREF908475,,Tablet,209.65.106.229,N,BATCH202409033,T+1,
TXN0000090,UTR844736471027,MERCH0027,CUST73471,Net Banking,PayTM Gateway,SBI,2024-10-24,20:34:33,4591.37,106.63,19.19,4484.74,INR,SUCCESS,,BNKREF456717,,Tablet,74.204.42.22,N,BATCH202410242,T+2,
TXN0000091,,MERCH0049,CUST58567,UPI,Stripe,Kotak,2024-10-05,23:37:38,51838.32,797.25,143.5,51041.07,INR,CHARGEBACK,harinakshi118@okaxis,BNKREF353480,,Desktop,221.121.39.141,Y,BATCH202410051,T+2,
TXN0000092,UTR963259532787,MERCH0032,CUST50441,UPI,PayTM Gateway,HDFC Bank,2024-06-23,14:32:18,43567.29,659.89,118.78,42907.4,INR,SUCCESS,jhalak102@okicici,BNKREF629996,,Desktop,172.118.220.143,N,BATCH202406232,T+1,
TXN0000093,UTR748016245650,MERCH0026,CUST16705,UPI,Stripe,Kotak,2024-08-14,13:09:40,74259.39,1716.69,309.0,72542.7,INR,SUCCESS,arya209@okaxis,BNKREF680096,,Desktop,36.45.131.24,N,BATCH202408141,T+2,
TXN0000094,UTR912165585239,MERCH0033,CUST62610,Net Banking,Stripe,HDFC Bank,2024-07-14,20:00:07,123805.43,2348.82,422.79,121456.61,INR,SUCCESS,,BNKREF147504,,Mobile,170.162.250.169,N,BATCH202407142,T+2,
TXN0000095,UTR595269495888,MERCH0032,CUST83783,Net Banking,Cashfree,Axis Bank,2024-11-08,05:30:17,90958.77,1568.87,282.4,89389.9,INR,SUCCESS,,BNKREF955374,,Mobile,205.17.209.55,N,BATCH202411083,T+2,
TXN0000096,UTR097499309728,MERCH0041,CUST91230,UPI,PayTM Gateway,SBI,2024-09-18,16:19:50,46186.29,1079.85,194.37,45106.44,INR,SUCCESS,anjali851@ybl,BNKREF353961,,Mobile,143.123.4.140,N,BATCH202409185,T+1,
TXN0000097,UTR689702838578,MERCH0025,CUST51124,UPI,PayU,Axis Bank,2024-03-15,02:14:19,22757.12,456.23,82.12,22300.89,INR,SUCCESS,siddharth944@paytm,BNKREF458955,,Tablet,217.139.19.119,N,BATCH202403153,T+2,
TXN0000098,,MERCH0020,CUST47880,Net Banking,PayU,Yes Bank,2024-08-24,22:19:33,41887.01,577.03,103.87,41309.98,INR,REFUNDED,,BNKREF839233,,Desktop,197.5.243.106,Y,BATCH202408243,T+2,
TXN0000099,,MERCH0037,CUST98686,Net Banking,Stripe,Axis Bank,2024-05-15,11:04:52,108263.57,1472.89,265.12,106790.68,INR,REFUNDED,,BNKREF513697,,Desktop,10.145.91.188,Y,BATCH202405152,T+2,
TXN0000100,UTR473384842199,MERCH0016,CUST41779,UPI,Razorpay,Yes Bank,2024-01-17,08:05:17,51987.21,835.85,150.45,51151.36,INR,SUCCESS,jai936@paytm,BNKREF336633,,Tablet,163.202.105.231,N,BATCH202401172,T+1,
TXN0000101,UTR082677345401,MERCH0042,CUST85252,UPI,PayU,Kotak,2024-02-08,21:54:45,15126.71,322.69,58.08,14804.02,INR,SUCCESS,advika766@ybl,BNKREF991638,,Mobile,1.32.151.230,N,BATCH202402082,T+2,
TXN0000102,,MERCH0032,CUST34420,UPI,Cashfree,HDFC Bank,2024-11-21,07:02:36,149580.6578308541,2296.28,413.33,147279.63,INR,REFUNDED,ayush19@okaxis,BNKREF695551,,Tablet,106.14.230.231,Y,BATCH202411211,T+2,
TXN0000103,UTR287431527420,MERCH0048,CUST54185,Net Banking,Cashfree,Kotak,2024-04-20,12:18:24,78671.56,1827.4,328.93,76844.16,INR,SUCCESS,,BNKREF807160,,Mobile,159.114.213.45,N,BATCH202404202,T+2,
TXN0000104,UTR275304637454,MERCH0038,CUST85088,UPI,Razorpay,ICICI Bank,2024-11-17,04:06:13,60159.697830854086,633.2,113.98,59521.75,INR,SUCCESS,umang679@okaxis,BNKREF826420,,Mobile,191.53.98.13,N,BATCH202411171,T+1,
TXN0000105,UTR414593327279,MERCH0024,CUST64505,UPI,Stripe,Axis Bank,2024-06-29,17:47:44,75402.94,1758.54,316.54,73644.4,INR,SUCCESS,radhika785@paytm,BNKREF940952,,Tablet,51.11.91.39,N,BATCH202406292,T+1,
TXN0000106,,MERCH0046,CUST57419,Credit Card,Razorpay,Kotak,2024-09-21,05:14:46,12326.45,199.05,35.83,12127.4,INR,PENDING,,BNKREF217659,,Mobile,103.63.248.248,N,BATCH202409215,T+1,
TXN0000107,,MERCH0037,CUST17567,Net Banking,Stripe,Axis Bank,2024-08-10,09:57:59,128180.18,2059.78,370.76,126120.4,INR,SUCCESS,,BNKREF805448,,Desktop,101.25.156.142,N,BATCH202408101,T+2,
